Latitude,Longitude,Date,Address,Zip
43.0531986435,-76.1363338876,2012-08-16T00:00:00Z,500 Hawley Ave,13203
43.0551356325,-76.0872960965,2012-08-15T00:00:00Z,102 Headson Dr.,13224
43.0537518829,-76.0907645559,2012-08-14T00:00:00Z,Smith St. & Polk St.,13224
43.0661078551,-76.1620053277,2012-08-14T00:00:00Z,Sunset Ave & Turtle St.,13204
43.0469751956,-76.1371969584,2012-08-14T00:00:00Z,945 East Genesee St.,13210
43.0576107249,-76.1637298291,2012-08-12T00:00:00Z,412 Spencer St.,13204
43.0453896698,-76.1284887179,2012-08-12T00:00:00Z,1215 Madison St.,13210
43.0645554273,-76.1542467314,2012-08-11T00:00:00Z,249 Lilac St.,13208
43.0630571604,-76.1109370644,2012-08-11T00:00:00Z,334 Forest Hill Dr.,13206
43.0468254889,-76.1147098137,2012-08-11T00:00:00Z,418-420 Westmoreland Ave,13210
43.0469100798,-76.0932127101,2012-08-11T00:00:00Z,117 Phillips Rd.,13224
43.057605857,-76.1825647195,2012-08-10T00:00:00Z,1020 West Hiawatha Blvd,13204
43.0659266767,-76.1614718682,2012-08-09T00:00:00Z,318 Sunset Ave.,13204
43.038976784,-76.1515439279,2012-08-09T00:00:00Z,South Clinton St. & Taylor St.,13202
43.0569327223,-76.150151808,2012-08-08T00:00:00Z,400 Prospect Ave,13203
43.0570723566,-76.1502656905,2012-08-08T00:00:00Z,412 Prospect Ave,13203
43.0205830971,-76.1511776674,2012-08-07T00:00:00Z,309 Hope Ave,13205
43.0482656249,-76.1521549271,2012-08-06T00:00:00Z,325 South Salina St.,13202
43.065824295,-76.1319683634,2012-08-06T00:00:00Z,404 Sedgwick Dr.,13203
43.0547953433,-76.1512361258,2012-08-04T00:00:00Z,Pearl St. & East Belden Dr.,13203
43.0752047126,-76.1633005895,2012-08-03T00:00:00Z,Tex Simone Dr,13208
43.0236063024,-76.1483298394,2012-07-29T00:00:00Z,135 Fage Ave.,13205
43.0631870299,-76.1109489472,2012-07-28T00:00:00Z,328 Forest Hill Dr.,13206
43.0415431106,-76.1344001476,2012-07-27T00:00:00Z,200 Marshall St.,13210
43.0495813665,-76.148374283,2012-07-26T00:00:00Z,333 East Washington St,13202
43.0215054058,-76.1743595704,2012-07-26T00:00:00Z,Arden Dr. & South Geddes St.,13207
43.0030682303,-76.1275823028,2012-07-25T00:00:00Z,Intrepaid Ln,13205
43.0488923748,-76.1743054355,2012-07-23T00:00:00Z,Liberty St (Dead End),13204
43.059584844,-76.1554609373,2012-07-23T00:00:00Z,West Division St.,13204
43.0775326148,-76.161493053,2012-07-23T00:00:00Z,Grant Blvd & Hiawatha Blvd,13208
43.0251531384,-76.1205740927,2012-07-22T00:00:00Z,Buckingham Ave & Meadowbrook Dr.,13210
43.077912307,-76.1470719218,2012-07-20T00:00:00Z,1416 Court St,13208
43.025960368,-76.1207260701,2012-07-19T00:00:00Z,464 Buckingham Ave,13210
43.0430462974,-76.1109984679,2012-07-18T00:00:00Z,241 Scottholm Ter.,13224
43.0181689728,-76.1302096683,2012-07-16T00:00:00Z,900 Jamesville Ave,13210
43.0506541991,-76.1363940419,2012-07-12T00:00:00Z,1000 Erie Blvd,13210
43.0103559679,-76.1505121954,2012-07-10T00:00:00Z,621 Ballantyne Rd,13207
43.0569080116,-76.1659633655,2012-07-09T00:00:00Z,500 Spencer St.,13204
43.0512845736,-76.1039711334,2012-06-28T00:00:00Z,300 Seeley Rd,13224
43.0494879904,-76.1397818559,2012-06-25T00:00:00Z,811 East Washington St.,13210
43.0042600885,-76.1576663029,2012-06-25T00:00:00Z,410 Englewood Ave,13207
43.0333450107,-76.1552037845,2012-06-20T00:00:00Z,Hovey St. & Midland Ave,13202
43.0552813402,-76.1967431574,2012-06-19T00:00:00Z,Essex St. & Avery Ave,13204
43.0402912396,-76.0856847831,2012-06-18T00:00:00Z,516 Hillsboro Pkwy,13214
43.0554199032,-76.1473689638,2012-06-17T00:00:00Z,518 North Townsend St.,13203
43.0509176241,-76.1521128184,2012-06-15T00:00:00Z,North Salina St.,13202
43.0740439592,-76.1503595397,2012-06-07T00:00:00Z,2527-2529 Grant Blvd,13208
43.0338859373,-76.1404260665,2012-06-01T00:00:00Z,156-162 Oakland St.,13210
43.0119436243,-76.1578843531,2012-05-30T00:00:00Z,100 Marvin Rd,13207
43.0564436312,-76.1624142684,2012-05-14T00:00:00Z,308 Maltbie St.,13204
43.0482857214,-76.1159172323,2012-05-10T00:00:00Z,1951 East Fayette St.,13210
43.0405204552,-76.1476467712,2012-05-07T00:00:00Z,1000 South State St.,13202
43.0433282578,-76.0887249141,2012-05-07T00:00:00Z,316 Carlton Dr.,13214
43.0594659666,-76.1133708821,2012-05-07T00:00:00Z,474 Hickok Ave,13206
43.0659266767,-76.1614718682,2012-05-04T00:00:00Z,318 Sunset Ave.,13204
43.0388937421,-76.1077814997,2012-04-27T00:00:00Z,306 Scott Ave,13224
43.0648107366,-76.0898056516,2012-04-25T00:00:00Z,1650 Glencove Ave.,13206
43.0415161625,-76.1066861618,2012-04-19T00:00:00Z,109 Bradford Pkwy,13224
43.0405486216,-76.1063495639,2012-04-19T00:00:00Z,Bradford Pkwy & Meadowbrook Dr.,13224
43.0511071679,-76.1754554321,2012-04-17T00:00:00Z,205/207 Apple St.,13204
43.0405486216,-76.1063495639,2012-04-17T00:00:00Z,Bradford Pkwy & Meadowbrook Dr.,13224
43.0710145899,-76.1026578197,2012-04-16T00:00:00Z,921 Tyson Pl.,13206
43.0547371118,-76.1964660715,2012-04-14T00:00:00Z,929 Avery Ave.,13204
43.0020135773,-76.1294090599,2012-04-14T00:00:00Z,East Seneca Tpk & East Brighton Ave,13205
43.0483285963,-76.1195261006,2012-04-05T00:00:00Z,1813 East Fayette St.,13210
43.0551498811,-76.0873861083,2012-04-04T00:00:00Z,Headson Dr.,13224
43.0032105246,-76.1300905378,2012-03-30T00:00:00Z,944 East Brighton Ave.,13205
43.0334875859,-76.1469773256,2012-03-28T00:00:00Z,East Castle St. & South State St.,13205
43.0483299203,-76.1196344431,2012-03-28T00:00:00Z,1809 East Fayette St.,13210
43.0501249895,-76.1506522524,2012-03-27T00:00:00Z,205 East Genesee St.,13202
43.005341355,-76.1431293244,2012-03-27T00:00:00Z,East Glen Ave.,13205
43.0536914016,-76.145649004,2012-03-22T00:00:00Z,518 James St.,13203
43.0504834193,-76.1389439819,2012-03-20T00:00:00Z,East Washington St.,13210
43.0427702038,-76.09206238,2012-03-20T00:00:00Z,201 East Genesee Pkwy,13214
43.0474631155,-76.1544204028,2012-03-18T00:00:00Z,238 West Jefferson Ave.,13202
43.020520732,-76.1284300813,2012-03-15T00:00:00Z,1302 Comstock Ave.,13210
43.0112263852,-76.126628588,2012-03-15T00:00:00Z,336 Ainsley Dr.,13210
43.0512549962,-76.1793684688,2012-03-15T00:00:00Z,Lakeview Ave. & Apple St.,13204
43.0325939822,-76.144726317,2012-03-11T00:00:00Z,552 Oakwood Ave.,13205
43.0182280472,-76.130083613,2012-03-07T00:00:00Z,901 Jamesville Ave.,13210
43.0273006559,-76.1219795926,2012-03-06T00:00:00Z,1347 Lancaster Ave.,13210
43.0182280472,-76.130083613,2012-03-05T00:00:00Z,901 Jamesville Ave.,13210
43.0009434906,-76.159124983,2012-03-03T00:00:00Z,173 Hopper Rd.,13207
43.0230401116,-76.1203290551,2012-03-02T00:00:00Z,555 Buckingham Ave.,13210
43.0111085419,-76.1338002772,2012-03-02T00:00:00Z,Ainsley Dr,13210
43.0030509434,-76.1298492835,2012-03-01T00:00:00Z,971 East Brighton Ave.,13205
43.0029413245,-76.1297951237,2012-02-25T00:00:00Z,985 E. Brighton Ave.,13205
43.0257221307,-76.1335280818,2012-02-20T00:00:00Z,East Colvin St & Hughes Pl.,13210
43.0663112855,-76.1259677183,2012-02-10T00:00:00Z,133 Chatham Rd.,13203
43.0796201256,-76.1531525463,2012-02-10T00:00:00Z,100 Bellshire Ln.,13208
43.0112263852,-76.126628588,2012-02-10T00:00:00Z,336 Ainsley Dr.,13210
43.0502710239,-76.1342516064,2012-02-08T00:00:00Z,University Ave. & East Water St.,13210
43.0265128675,-76.1624825568,2012-02-06T00:00:00Z,115-117 Parkview Ave.,13207
43.0733914701,-76.1627259183,2012-02-05T00:00:00Z,1604 Spring St.,13208
43.0255316249,-76.1452890558,2012-02-05T00:00:00Z,South Salina St. & East Colvin St.,13205
43.0537896177,-76.1736822052,2012-02-05T00:00:00Z,400 Liberty St.,13204
43.0209356091,-76.1557219637,2012-02-03T00:00:00Z,Hunt Ave & Elmhurst Ave,13207
43.0272498218,-76.1728231871,2012-02-01T00:00:00Z,Alanson Rd.,13207
43.0666949878,-76.1573579266,2012-02-01T00:00:00Z,North Alvord St. & Danforth St.,13208
43.0673710237,-76.1271820085,2012-01-30T00:00:00Z,Rugby Rd. & Durston Ave.,13203
43.0716978081,-76.1312336664,2012-01-29T00:00:00Z,223 Woodlawn Ter.,13203
43.0501930108,-76.1752502501,2012-01-27T00:00:00Z,547-549 Richmond Ave,13204
43.0541715142,-76.1341127387,2012-01-25T00:00:00Z,621 Hawley Ave,13203
43.0694191264,-76.0939964112,2012-01-23T00:00:00Z,James St. & Ridgewood Dr.,13206
43.0653879091,-76.1539386349,2012-01-22T00:00:00Z,746 North Alvord St.,13208
43.0702036063,-76.1483158228,2012-01-22T00:00:00Z,Pond St. & Griffith St.,13208
42.9962397626,-76.1378496778,2012-01-19T00:00:00Z,Cheltenham Rd. & Sunrise Dr.,13205
42.9936795188,-76.1365003418,2012-01-18T00:00:00Z,132 Lynn Ct.,13205
42.9962397626,-76.1378496778,2012-01-14T00:00:00Z,Cheltenham Rd. & Sunrise Dr.,13205
43.0778737857,-76.1380643497,2012-01-12T00:00:00Z,Harding St. & Huntley St.,13208
43.0672423867,-76.1461226704,2012-01-09T00:00:00Z,East Division St. & Gilbert Ave.,13208
43.0535726929,-76.0941491104,2012-01-06T00:00:00Z,Polk St. & Lime St.,13224
43.0355005021,-76.1471631898,2012-01-04T00:00:00Z,East Raynor Ave. & South State St.,13202
43.0701780468,-76.1261815922,2012-01-04T00:00:00Z,244 Wheaton Rd.,13203
43.0317050327,-76.1586958876,2012-01-03T00:00:00Z,709 South Ave.,13207
43.0483834919,-76.1233180685,2011-12-30T00:00:00Z,1605 East Fayette St.,13210
43.0635343969,-76.1533852693,2011-12-26T00:00:00Z,121 Pond St.,13208
43.0637498009,-76.111000436,2011-12-24T00:00:00Z,302 Forest Hill Dr.,13206
43.0404998226,-76.1328728658,2011-12-20T00:00:00Z,Waverly Ave. & Walnut Pl,13210
43.0632199255,-76.1121815763,2011-12-15T00:00:00Z,325 Stafford Ave.,13206
43.0672204332,-76.1513824493,2011-12-15T00:00:00Z,609 Carbon St.,13208
43.0686798657,-76.1104579141,2011-12-14T00:00:00Z,100 Lillian Ave.,13206
43.062863425,-76.1154167687,2011-12-13T00:00:00Z,240 Shotwell Pk.,13206
43.0458046783,-76.1571986648,2011-12-12T00:00:00Z,Tully St.,13202
43.0650411247,-76.1565679143,2011-12-03T00:00:00Z,309 Kirkpatrick St,13208
43.0498899524,-76.1610154815,2011-12-02T00:00:00Z,515 West Erie Blvd.,13204
